userid,score,class
f5e00dfd7cb43f85c86dd5373da9516c,3,b
7ba601138e531ca65131aaafdd0b0fca,81,b
64d3bd3b339f63a66b8c878b561551d8,79,b
02d679ad650962b6ae8bf8adbeeb33c1,59,b
4f25425fdbeff3e6ce39ffa4d4a3cb0b,4,c
99b5057fa31682ed3b10f24d25b4e8ae,89,c
1a0c76d043eeff7842f46b9583570a50,85,c
998d6f7b512c27d4f5c35dbb5922ba44,80,c
cc09077d3937c6323346613696ed05c9,81,c
c0da6852b9ea51985a0cf3703d39c52d,88,c
34c778c98ed41d6cd2a37c5145033c4a,77,c
8eaa803c0b87790ec4290bcd41e5b037,88,c
bc482f9d2bff061e21937607585d9f9b,74,c
91af6d98e1e08516ff7a91ac197e1d9b,68,c
b71ebce969cf57f578182caf633b6a30,78,c
0b6c3afa086c5e03a24665aa75a7a0f5,83,c
2efc0a548e80acbcaf2cfb9804e2faa3,87,c
6d4b7a6f7c4c3aa2fe1efed5888e729b,92,c
596b466b63d92244aee713b6525cb072,80,c
da03bef31ab2dca5b97f8d240ccb4a61,88,c
90a865c2953dc448bf959a5eb8a291ee,88,c
cd8d1190d4e2e17f65c0c7a506f4dd4f,75,c
843ac46f8cd7da73c4ae48b2deb4a729,90,c
85345ead7b6db97b141cbdee0b846230,82,c
4f7edf8af873ccef5e94647cdafcfc1a,89,c
f1d1a0d80dfa3b5309b015bb59ae6c84,89,c
447479f2c66040046a9b32ccfbaae127,92,c
399f141b63f3243b2064b321ed2b6e6b,61,c
a41c1eab3d8463a7cb6ea0eb7d813e30,94,c
ea71f8352e9f56669d45fbc8785b3c52,30,c
5594425402daa5d17ba4a9043c1d8ff6,77,c
c722908a43fd51130854a1b6b5e91733,83,c
d88e44d3d77734a236a21543fc9d37de,70,c
1635c1bba7b734d85d12d005e5ef67a9,89,c
2aebc6de3f2abaa9253dfc7810b773d4,96,c
98a5d49319bd9712aa26ec593341f2ef,79,c
1e342325849367478c72fcded1149c65,89,c
cada78ef18cca6cc39d55679d9da5d42,74,c
59e6368a8342e3611348ed0e93ceddb1,86,c
bcce76e2960239f89bdf133f904746af,80,c
3b2d1d0d7c1f8bdb73bdfc45bf3cabeb,63,c
191ea163dc12fe1cb4c8397bd48f18aa,59,c
681a2ee5f3fe039c1d403fccb58a3a67,76,d
c1c28a94ac4fa24b91c537a648a89d51,73,d
89eba477e70f516a1c5ff979282d75ca,39,d
c0296da2531bd101d1c7a597bfbe3055,97,d
2984b3dc3fbbdcd35ebe764dc30ca331,94,d
07376c0e999c285d498c430418059de0,92,d
99f3080b05fd0a103b83e9c6bf3ee9a9,86,d
6c7ea17b19edee01e39075dfbd783085,79,d
6eaf54527df79db49356a26daba98656,97,d
12b9eba1adfb80bb4900d0f664d64729,56,d
a1b7e8f509e4764f2240c56cf5855e68,72,d
26a7d7505f05ed71817e2afec0b8d957,88,d
59c47412160b9f60a91c8ab957834434,91,d
be5a4adf3d6c9c52ecbdb00f9ee10ba6,6,d
19ecb8185a0cef5d3d87a5d5d89fb1d1,98,d
33387545d6a3c0ee607abff19b75abc7,82,d
334ae80553d0d9888c59436a747e6435,88,d
aaf5852b0146d3dcfb03c52ec0ef48e4,89,d
14b40d138fb0d1e6d76b43d55611401a,96,d
633b46db3cea2ec83b4b196dcf9f7e76,97,d
2c7048946097aef5bc1b96cc53585489,97,d
213537eee9b97f1b39970a8d5cdce00c,80,d
bed61885e3d7ca38dec377de7cae5683,97,d
c73d2b1832ee16136b6f3cfe2a596416,97,d
a6458da9625c6ae288440bc3868952f4,86,d
d391820addb3fcad29eaccb3774f81b9,98,d
71b53ea50ec02d28fc08843ead3717a0,96,d
21b5ad58ee31f6e6e5fc4ee9fbab05a7,97,d
4524e704e7373c5dfc78a24d105a70c8,59,d
ff352cc412dda02baf83e6c095f81622,69,d
0ddd40d6312d4bdc3589bea15c47afa9,91,d
3e018e2078fe88dfd6c8c52bf425cfc3,92,d
2ce542d10444443251e44a3a6dec6eb4,96,d
2360852fcfec3ce90c573151f24adfd1,92,d
41364796890f9cffd068307dbdff9559,91,d
94a2b55405ffb84d8d1d0cb8c54c1e5b,92,d
5747bb8136dcd0aa25e8f7763827db11,94,d
6673ff23881e8c0ef5aae29ed547d83d,95,d
c145b6354ca0fccea7eff4ba7fe131a6,73,d
f0a81ae38b4e5374cba10b03d7e6b7aa,97,d
4ddf5f5db7e19cc17b603ce8e8ff351f,50,d
