userid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
a23402a174a55c4211136df4425a724e,3,2,4,3,3,2,3,5,4,4,2,4,4,4,4,4,4,4,3,4,4,3,4,3,3
fbc64c2a6c18eb693cb24d8081e034df,5,3,5,4,5,2,3,4,3,5,2,5,3,4,2,3,3,4,4,4,2,2,4,4,4
641eaeb08588407b37b1c2c109b59761,4,5,2,5,3,3,4,5,2,5,5,5,3,5,3,4,4,5,4,4,5,3,4,3,4
479e88f02385c56f386d07d59f02a3b2,3,2,4,4,3,2,2,4,3,1,2,4,2,4,3,3,3,2,2,2,3,2,4,3,4
b64ce7758b9f7e58f1ad8bbcf7811e7d,5,5,5,5,4,3,5,5,5,4,4,5,5,5,5,5,5,5,5,5,3,4,5,5,5
86348207eecbbfef7db739a2f6595e18,4,4,4,4,4,3,4,3,4,3,4,4,5,5,4,4,4,5,5,5,5,3,5,5,5
1361825bdeb54e5153e74389df8a2a10,3,3,3,3,3,3,2,3,2,2,2,3,3,3,3,3,3,2,3,2,4,3,2,3,3
e5d4b572258708faa5eb1c382eaba86c,4,4,4,4,4,4,3,3,4,4,4,4,2,4,4,3,4,4,4,4,5,4,4,4,4
bd47306d1ab10377783e37d4d363e482,4,4,3,4,4,3,4,4,2,4,3,4,3,4,3,4,4,5,3,3,3,3,3,3,3
4f9f1b81a07e3a192853ab1099a68fca,5,4,4,5,5,3,4,5,4,4,4,5,3,5,5,4,5,4,3,4,5,3,5,4,4
0307ea84b89fceab3b507fec1900ce7e,5,3,3,4,4,3,3,5,3,2,3,4,3,5,4,4,3,4,4,4,4,3,4,3,3
f8bb7ed0860701686be0bcaad12dcee6,2,1,1,5,2,1,3,5,2,2,1,2,1,5,5,5,3,4,4,3,5,3,5,3,4
bebc49073c8a5def929612def946c281,3,3,1,4,2,2,3,5,3,5,1,5,1,3,2,2,3,4,4,3,4,2,2,2,3
b69c06f1f563ace3c69c7b32f2a6c850,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4e3519d7eafbfccdae231756fcf2ce9c,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
604adb5a2ffd0f8313a8b6f1da784ba5,4,4,5,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4
deab088838618d0f80db74ae4a277269,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5f1981994e777f8d76c45df9adfc8662,3,2,1,1,3,1,2,1,5,2,1,1,1,2,3,4,2,2,1,2,3,4,2,1,5
a6a0726e8604766b4636749d9203842b,4,4,4,4,4,3,4,5,5,3,3,4,4,4,4,5,5,4,4,4,3,3,4,4,4
6d5a2a59f6f376602a835fe57c70455b,5,3,5,4,4,2,3,5,4,4,2,4,5,5,5,5,4,4,4,4,5,3,5,4,5
2bd3b13fa417ca0970aa75e44af86549,2,1,1,4,2,1,1,3,1,3,1,4,1,3,3,1,2,3,3,3,5,1,4,2,2
4c2a6bec22f436e1b14bbefa24443b4d,5,4,5,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,4,5,4,4,5,5,5
f65238cddaeec1be538e9c1a5990e48f,4,5,4,5,4,3,3,5,5,5,4,5,3,5,3,3,4,5,5,5,2,2,3,3,5
b2d48f67a089cc23fb2bc7729f8a2300,3,3,2,4,3,2,2,2,2,4,2,3,1,5,3,5,2,3,3,3,5,3,4,3,3
27c8f93d752f0222aa211e0691cebee4,5,5,5,5,4,4,4,5,5,5,3,3,4,5,5,5,5,4,4,4,4,3,5,4,5
a7e82fef913fa275bef458aade2e5ae4,4,4,3,4,4,3,4,4,3,4,3,4,4,4,4,4,3,4,3,4,4,3,4,3,4
ca7f48cb0d61ed7c967adf1a0010367e,3,4,3,3,3,3,3,3,3,4,3,4,3,4,3,4,4,4,3,3,5,3,4,3,3
2979bd5d5a584c2aa70f4a434412bc2b,5,5,5,4,5,3,5,5,5,5,3,3,5,5,4,3,5,5,5,5,5,1,3,5,5
92c1e87578f7b00e26df9d0ad21c63da,4,2,4,5,4,2,4,4,4,4,2,3,2,5,4,4,4,4,4,4,3,3,5,3,4
481c56986ebae62c870b0da9bbafc5c6,5,5,5,5,3,3,3,5,3,5,3,5,4,5,5,5,5,4,3,3,3,4,5,4,5
6df42c634fbdd9f3c1a33219e89e4939,5,5,3,5,5,2,5,4,3,4,3,4,3,5,5,5,3,5,5,4,4,4,5,5,5
dd48bc0174c3ca2370b0a49c2bd6fa82,4,3,4,4,4,2,3,5,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4
9feda7bbf2a2e9b1b6ed4a1daa538960,4,1,1,4,3,1,2,4,4,3,1,4,4,4,2,2,2,3,3,3,4,2,2,3,3
95289197f5de3bb81c7622133a0199ee,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
a0dce576762dccbadb3476bad1732c82,4,3,4,4,4,3,4,5,5,3,3,4,5,5,5,4,4,4,3,3,3,3,4,3,4
b1dfc5c6ec04d46d1823c5fa972ad320,4,5,1,5,3,1,3,5,2,4,5,5,5,5,5,3,5,5,5,5,1,3,5,4,5
87959ef435c61f280e3402229c796940,4,5,5,5,4,3,4,5,5,5,3,5,5,5,4,5,5,4,4,5,5,4,5,5,5
be9c58e4a639094d9f2c8bfec91afc16,4,3,2,3,3,2,3,3,2,2,2,4,2,4,4,4,4,5,5,5,4,4,3,4,3
