userid,e_1,e_2,e_3,e_4,e_5,e_6,e_7,e_8,e_9,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_20,e_21,e_22,e_23,e_24,e_25
a6a0726e8604766b4636749d9203842b,4,5,5,4,3,3,5,5,5,3,4,4,3,5,5,5,5,4,4,5,5,4,5,5,5
f5fd1f70d1747238d53ec5ef722d68d7,4,3,4,4,4,3,3,5,4,3,3,3,3,4,4,3,4,4,4,4,3,2,4,3,4
b69c06f1f563ace3c69c7b32f2a6c850,4,5,5,5,4,4,4,4,5,4,4,4,2,4,4,3,3,4,4,4,3,4,4,4,4
b64ce7758b9f7e58f1ad8bbcf7811e7d,5,5,5,5,4,4,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5
4e3519d7eafbfccdae231756fcf2ce9c,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
379bbc4c2c728db0a249e8c4e6b621af,5,5,3,5,5,3,3,5,3,3,3,3,1,3,3,5,5,3,3,3,3,3,5,3,5
acc2ce1e332284a8a55fb7e2fd8bf7c3,3,3,4,4,3,2,3,4,4,4,3,3,2,4,2,3,3,4,4,4,4,1,2,3,4
479e88f02385c56f386d07d59f02a3b2,3,4,4,3,4,2,2,4,2,4,3,3,3,4,4,3,4,4,3,4,4,2,3,3,3
ef42bcd3300605e66dc7f8c01f773dec,5,3,5,5,5,3,4,5,4,3,3,4,5,5,4,4,4,5,5,5,3,3,3,4,4
3d606cd38291c1e5941bc1c37f84f216,4,1,2,4,4,1,2,4,2,2,1,3,1,4,3,3,3,4,3,3,3,1,4,1,2
4f9f1b81a07e3a192853ab1099a68fca,5,3,4,5,5,3,3,4,4,4,3,4,3,5,4,4,4,4,4,4,4,2,4,4,4
4c2a6bec22f436e1b14bbefa24443b4d,5,4,5,4,5,3,5,5,5,4,4,5,5,5,5,5,5,5,5,5,3,3,5,4,5
9feda7bbf2a2e9b1b6ed4a1daa538960,4,4,4,4,4,3,3,3,4,3,3,3,2,3,3,3,2,3,3,3,2,2,3,2,3
a92f1708363527a34d93b0bc7840262c,5,4,4,4,4,4,4,5,5,3,4,5,3,5,5,4,4,4,4,4,4,4,4,4,4
0a715a568a054d7996fcbcbf17b36551,5,1,3,4,4,1,4,4,5,5,1,3,3,5,2,2,4,5,5,5,3,2,4,5,4
0307ea84b89fceab3b507fec1900ce7e,5,4,4,5,5,4,4,4,4,3,3,5,4,5,5,5,5,5,5,5,5,3,5,5,5
c3b33b73130d1e4649f10117f7508195,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4
95289197f5de3bb81c7622133a0199ee,5,3,2,5,5,2,3,3,3,2,2,4,3,3,3,3,3,4,3,4,4,3,3,3,3
a0dce576762dccbadb3476bad1732c82,5,5,5,5,5,3,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,3,3,5,5
86348207eecbbfef7db739a2f6595e18,4,3,4,4,4,3,4,3,5,4,3,5,5,5,4,4,4,4,4,4,4,2,4,4,5
be9c58e4a639094d9f2c8bfec91afc16,4,3,3,4,4,2,3,4,3,4,3,4,2,5,4,4,4,4,4,4,4,4,4,3,4
43f0e2e3fc7691c51613758e2b65928e,5,4,3,4,5,4,3,4,3,3,3,4,4,4,4,3,3,5,5,4,3,3,3,3,4
f8bb7ed0860701686be0bcaad12dcee6,5,3,5,5,5,1,3,5,5,5,1,5,5,5,5,5,5,5,5,5,5,3,5,5,5
9d12306918559bbd1328a128bd5c5aed,5,4,5,5,5,5,4,5,4,3,2,1,2,3,4,5,4,4,5,4,4,4,4,4,4
5d83718570cad6c421fc5c9e9b80159e,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3
d5d6ef4cf638f306e8948582b7662c45,4,4,4,5,5,3,4,5,3,5,4,5,4,5,5,5,5,5,5,5,5,2,4,4,5
3d2fd5b219300a9aee7b21887a24c539,3,3,3,5,4,3,4,5,4,5,3,5,4,5,4,4,4,5,5,5,5,4,4,4,4
f83882e0705489c3c0514fe226fdda4f,3,2,1,4,3,1,3,5,1,3,1,4,2,4,3,3,4,3,4,4,5,2,4,2,4
cdac3b51658dd26dd9cb7a70260f9af5,4,5,5,5,5,3,4,5,5,5,3,4,4,5,2,4,2,5,4,4,3,3,2,2,5
d21e4243dd618580580846f676c2b85a,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,3,4
b3544e076d49acb0dd2af969419895f0,3,2,4,2,2,1,2,4,4,4,2,3,3,3,2,3,4,4,4,4,4,2,1,2,4
60085c119be41ce2a56c2576583d821c,4,3,2,2,3,2,4,4,4,4,3,3,3,4,3,4,4,4,4,5,5,3,5,3,4
f79d398d62d5eaff8d7b1f9f6aaf65ab,4,3,3,5,4,3,3,5,4,5,3,4,3,4,5,5,4,4,4,4,4,3,4,3,3
8b1862b185a8d8e375ab781e55e3c39a,1,1,1,1,1,3,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1
321fe53fdc9f70e4d17930e03cbd49e7,1,5,5,5,3,1,3,5,3,5,4,5,5,5,4,5,5,3,3,3,3,2,3,1,1
76fa75f0e9cd794207dda975ca84dfb3,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,3,4,4,5
f0c4f08113a2bc5a9275dd881c616a92,3,2,4,4,2,2,3,4,4,3,3,3,3,4,3,4,3,3,3,3,4,3,4,3,4
1d6a9b03150137d40a4b024518aa0fa6,4,3,4,4,3,2,3,5,5,4,2,5,2,5,4,4,4,4,4,4,3,1,4,4,4
f1641addf883c1130a801d06d07eef4c,4,3,2,3,2,1,2,5,2,2,1,3,2,4,2,2,2,2,1,3,2,3,2,2,3
d5a1f82d20610cfc2ee2df22e16ad238,3,3,2,4,3,2,1,5,2,4,2,3,4,4,3,4,4,4,4,3,3,2,3,3,4
98a2576c48530076abcaf557f266efd9,3,4,4,2,2,1,3,5,5,5,3,3,4,5,5,5,3,4,5,5,4,4,4,5,5
b7848fb18dbf386464e7cb7c37758241,3,3,3,4,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3
9b430de7406c68bb31fd726c99ac3558,4,2,2,4,4,2,4,4,4,4,2,4,4,4,3,4,3,3,3,3,5,2,3,4,4
e4f677ad43c84ada8abc579c6abf9aee,5,2,2,5,5,2,4,5,5,5,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4
3750e5317d2967d407e66236ad3b7ab5,3,1,3,3,3,1,2,4,4,4,2,4,3,3,3,4,4,5,4,4,4,3,3,2,4
995eae68fe66f02aa88128425cc87e81,4,3,4,4,3,2,4,3,3,3,3,4,4,5,3,3,3,4,3,4,2,2,2,3,5
7c74f9e3da2ec3ebf687ed4da9a1f82b,4,4,3,5,4,3,4,5,5,5,3,5,5,5,5,5,5,5,5,5,4,3,5,4,5
4e4fc034dea12369dc5de555ad478a07,3,2,4,4,3,2,2,5,4,4,2,5,4,4,3,4,4,3,4,3,4,3,3,4,4
8e72970e2fdad1fa564d800ba15d72c4,4,3,4,4,4,3,3,4,5,3,3,4,3,4,3,3,3,4,4,3,3,3,3,3,5
65e452ca8afdf0ba6a8cbc4af63da728,2,2,3,5,2,1,1,5,5,3,1,5,1,5,3,5,1,5,3,3,5,1,5,3,2
6ae71a054e9a503a1f0950de131833a2,4,1,4,4,4,1,3,5,2,5,1,5,4,5,4,4,4,5,4,5,2,1,4,1,3
3e5fd8ec3f352d90ff3906ae403ebeac,3,3,2,4,2,2,2,3,2,3,1,2,2,3,2,3,3,3,3,3,4,2,2,2,3
32e7400bb54ff66588587d2f2b1b22c2,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cb75e24ff92bb3f07f0051b945d5295b,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,4,3,4
6f07da24588ef7be16618bbe848d2aa6,4,4,5,4,4,3,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3
579c29c5407ed999b692374653d25a61,3,1,4,4,3,1,2,4,4,3,2,4,3,4,2,4,4,4,4,4,5,1,3,3,3
320c71e05fde5152c26575798bfeb953,5,5,5,5,5,3,4,5,5,4,3,5,5,5,5,5,5,5,5,5,4,4,5,4,5
f5e00dfd7cb43f85c86dd5373da9516c,5,5,5,5,5,3,3,5,5,5,4,4,4,4,4,4,5,4,5,4,5,4,4,4,4
ef64bcdb755a678ecea401b713fee614,5,5,3,5,5,5,2,5,4,5,1,5,5,5,5,5,5,5,3,5,2,4,5,5,5
3723be496725be52bc640fd39aea51e6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0c7b9053af0850d3eaa8b61de50a26cd,5,4,4,5,5,3,4,5,4,4,3,4,4,5,5,4,4,5,5,5,5,3,4,4,4
a2dc2d0036c53b22cb9fb6bc280809f5,3,4,1,5,4,2,4,5,1,2,1,4,4,5,3,3,3,4,3,4,5,4,3,4,5
93229bfed1b03a573e6139c21fc4e5c7,3,4,4,4,3,3,1,3,3,2,4,4,4,5,4,3,4,3,3,3,4,3,4,4,5
7b5bd317f5674f7d064f43ca1b6fe259,1,1,3,2,1,1,1,5,1,1,1,5,1,1,1,1,1,2,1,1,3,1,1,1,3
02d679ad650962b6ae8bf8adbeeb33c1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7ba601138e531ca65131aaafdd0b0fca,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,1,1,1
92f1d409e9283fc62ebc7d59279f15c3,3,3,3,3,3,2,3,3,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3
52de7db1d670939f4381ac9c9e0e4f38,2,4,4,2,5,3,2,2,2,4,4,3,3,4,2,3,3,4,4,4,4,1,4,4,3
59d4d32d1adaab3ed5ecbf5ca9d728ca,3,4,2,5,4,3,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9879db96946fbb8a3e255ab8815c577e,3,3,3,4,3,2,3,5,4,4,3,3,2,4,3,3,3,4,4,4,3,3,3,4,4
64d3bd3b339f63a66b8c878b561551d8,4,2,3,3,4,1,3,3,3,2,1,2,1,2,2,2,2,4,3,2,5,2,2,2,2
7359eff18cfd86cf045a149530e26627,4,4,4,4,4,3,3,4,3,4,3,4,3,4,3,4,3,3,4,4,3,3,3,2,4
af4a88df59c0df41ee7fca0ca57fba3a,3,2,2,3,3,2,2,3,3,2,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3
77174b6a21fc52977ea8a50f8e325beb,5,3,5,5,4,3,4,5,4,4,3,5,3,5,4,4,5,4,4,4,3,3,4,4,5
33fe133f30a5f6f14bb08aabd4114d92,5,5,2,5,5,5,4,5,5,2,5,3,2,5,5,5,5,3,4,4,3,5,5,5,5
a2dc2d0036c53b22cb9fb6bc280809f5,4,2,1,2,3,1,3,2,5,2,1,2,3,4,1,4,2,3,4,5,2,1,1,1,5
