userid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
97ff350207ca6a952e2b62129e0549f0,4,2,5,3,3,1,3,4,5,4,1,1,2,5,2,3,3,4,4,4,5,2,2
ef64bcdb755a678ecea401b713fee614,3,2,4,5,3,1,2,3,3,5,1,4,4,4,4,3,2,5,5,4,5,3,5
9879db96946fbb8a3e255ab8815c577e,4,3,3,4,4,3,3,5,4,4,3,3,2,5,3,3,3,5,5,5,3,3,4
6ae71a054e9a503a1f0950de131833a2,4,4,4,3,4,3,3,3,4,4,3,4,5,5,4,4,4,3,4,4,4,2,4
f0c4f08113a2bc5a9275dd881c616a92,3,4,4,4,3,3,3,3,4,2,2,3,2,4,3,4,4,3,2,2,3,3,4
e4f677ad43c84ada8abc579c6abf9aee,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4,4,4,4,4,4,3,3,3
d5a1f82d20610cfc2ee2df22e16ad238,4,2,1,3,3,1,1,4,4,2,1,3,1,4,2,3,3,2,2,3,4,2,2
4e4fc034dea12369dc5de555ad478a07,3,2,4,4,2,1,3,5,4,4,2,4,2,3,2,5,4,3,3,4,3,2,4
b3544e076d49acb0dd2af969419895f0,3,2,5,3,2,2,2,3,3,3,2,4,5,3,2,2,4,4,3,3,5,3,2
3d2fd5b219300a9aee7b21887a24c539,5,5,1,5,5,3,5,5,4,5,3,5,3,5,4,4,4,5,5,5,5,3,4
f79d398d62d5eaff8d7b1f9f6aaf65ab,4,4,4,5,3,2,3,4,4,4,3,4,4,4,3,4,4,3,4,3,5,3,3
0c7b9053af0850d3eaa8b61de50a26cd,5,5,5,5,5,3,4,5,4,4,3,5,5,5,5,5,5,5,5,5,5,4,5
65e452ca8afdf0ba6a8cbc4af63da728,3,1,2,5,3,1,1,5,4,3,1,5,1,5,1,4,4,3,3,3,5,1,4
5104564f160fb05b4b79bbdb09c03c4f,4,3,4,5,4,3,3,4,4,4,3,5,4,5,3,3,4,4,4,4,3,2,3
cb75e24ff92bb3f07f0051b945d5295b,5,3,3,4,4,3,4,5,4,4,3,4,3,4,4,3,3,4,4,3,3,3,3
98a2576c48530076abcaf557f266efd9,3,2,4,4,3,1,3,5,5,4,1,4,3,4,5,5,3,4,4,4,3,4,5
6f07da24588ef7be16618bbe848d2aa6,4,3,5,5,4,2,3,5,4,5,3,5,4,5,4,4,4,4,3,4,5,3,4
995eae68fe66f02aa88128425cc87e81,4,2,4,5,3,2,3,4,3,3,2,5,4,4,3,4,4,5,4,4,1,4,4
32e7400bb54ff66588587d2f2b1b22c2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
579c29c5407ed999b692374653d25a61,3,1,5,5,3,2,3,5,5,4,2,4,4,5,3,3,2,4,3,4,3,2,2
c2e15430ed832457c780c948b21c37ec,2,4,5,5,3,3,4,5,5,4,2,5,2,5,5,5,5,5,4,4,3,1,4
3750e5317d2967d407e66236ad3b7ab5,4,3,4,4,3,2,3,4,5,5,3,4,4,4,4,4,4,5,4,4,5,4,4
3e5fd8ec3f352d90ff3906ae403ebeac,4,4,5,5,4,3,4,5,3,4,2,5,3,5,5,5,4,5,5,5,4,3,5
b7848fb18dbf386464e7cb7c37758241,3,3,1,3,2,2,3,3,3,3,2,3,2,4,3,4,2,3,3,3,3,2,4
64d3bd3b339f63a66b8c878b561551d8,4,1,2,4,4,1,2,1,2,1,1,3,1,4,2,4,4,3,3,2,4,1,2
77174b6a21fc52977ea8a50f8e325beb,5,4,5,4,5,4,4,4,4,5,4,4,3,4,4,4,4,4,4,5,3,3,4
3723be496725be52bc640fd39aea51e6,2,2,3,3,2,1,1,3,5,1,1,1,1,3,2,3,2,2,1,2,5,1,2
d5d6ef4cf638f306e8948582b7662c45,5,4,5,5,5,3,5,5,5,3,3,5,4,5,5,5,4,5,4,4,4,2,5
