,id,1.  I try my best not to be absent-minded.,2.  I can ignore the noise of the surrounding environment and focus on learning content.,3. It is easy for me to lose my concentration.,"4.  Even if the contents are not interesting, I can still concentrate on them.",5. It is hard for me to keep concentration for 15 min.,6. My mind wandered.,7.  I often forget what I just learn.,8. It is difficult for me to pay attention to the details.,9.  I can notice the key points of learning contents.,10. I can grasp the main points and fully understand. ,1. I listen carefully to everything that is said in class,2. I ask questions about what I do not know.,3. I interact with my peers during class.,4. I strive to understand lessons during class.,5. I am alert during class.,6. I always participate in discussions with my teacher.,7. I am always eager to attend class.,8. I always complete my assignments.,9. I prefer to complete activities and assignments during class with my instructor and peers.,10. Enough time is provided during class for practice activities and discussions.,11. I always ask the instructor about difficult content.,12. I attempt to apply things that I learned during class.,13. I relate to my peers and discuss with them what I learned at home.,14. I strive to acquire new knowledge about the course.,15. Being familiar with the content prior to attending class motivates me and increases my engagement.,16. Preparing for lessons enables me to communicate better with my peers and the instructor.,17. Familiarizing myself with content prior to attending a lecture enables me to share what I learned with others during class.,18. I enjoy the class.,19. The teaching method practiced by the instructor is enjoyable.,20. I enjoy the practice activities conducted during class.,21. I enjoy studying content at home.,22. I like it when the instructor asks me questions.,23. I am optimistic when I go to class with an understanding of the content.,24. Participating in class discussions boosts my confidence.,25. Solving and sharing problems during class is enjoyable.
53,ac0be8a07c3b89661442bbeccf0dd44f,4,4,4,4,3,3,4,3,4,3,4,4,4,4,4,3,3,3,4,3,3,3,2,3,3,3,2,3,3,3,2,2,3,2,3
54,a92f1708363527a34d93b0bc7840262c,5,4,3,3,3,3,4,2,4,4,5,4,4,4,4,4,4,5,5,3,4,5,3,5,5,4,4,4,4,4,4,4,4,4,4
55,0a715a568a054d7996fcbcbf17b36551,4,5,1,5,1,1,1,2,5,4,5,1,3,4,4,1,4,4,5,5,1,3,3,5,2,2,4,5,5,5,3,2,4,5,4
56,0307ea84b89fceab3b507fec1900ce7e,5,5,1,5,1,1,2,2,5,4,5,4,4,5,5,4,4,4,4,3,3,5,4,5,5,5,5,5,5,5,5,3,5,5,5
57,c3b33b73130d1e4649f10117f7508195,4,4,2,4,2,2,2,2,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4
58,95289197f5de3bb81c7622133a0199ee,5,5,2,5,2,2,2,2,5,5,5,3,2,5,5,2,3,3,3,2,2,4,3,3,3,3,3,4,3,4,4,3,3,3,3
59,a0dce576762dccbadb3476bad1732c82,4,4,1,3,1,2,3,2,4,4,5,5,5,5,5,3,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,3,3,5,5
60,86348207eecbbfef7db739a2f6595e18,4,4,2,3,2,2,2,2,4,4,4,3,4,4,4,3,4,3,5,4,3,5,5,5,4,4,4,4,4,4,4,2,4,4,5
61,be9c58e4a639094d9f2c8bfec91afc16,4,3,5,2,5,4,4,3,4,4,4,3,3,4,4,2,3,4,3,4,3,4,2,5,4,4,4,4,4,4,4,4,4,3,4
62,43f0e2e3fc7691c51613758e2b65928e,5,5,2,4,2,3,3,2,4,4,5,4,3,4,5,4,3,4,3,3,3,4,4,4,4,3,3,5,5,4,3,3,3,3,4
63,f8bb7ed0860701686be0bcaad12dcee6,5,5,3,5,1,1,2,1,5,5,5,3,5,5,5,1,3,5,5,5,1,5,5,5,5,5,5,5,5,5,5,3,5,5,5
65,9d12306918559bbd1328a128bd5c5aed,4,4,3,5,4,5,5,4,4,4,5,4,5,5,5,5,4,5,4,3,2,1,2,3,4,5,4,4,5,4,4,4,4,4,4
66,5d83718570cad6c421fc5c9e9b80159e,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3
67,d5d6ef4cf638f306e8948582b7662c45,5,3,2,4,2,2,2,3,5,5,4,4,4,5,5,3,4,5,3,5,4,5,4,5,5,5,5,5,5,5,5,2,4,4,5
68,3d2fd5b219300a9aee7b21887a24c539,5,4,2,3,2,2,3,2,4,4,3,3,3,5,4,3,4,5,4,5,3,5,4,5,4,4,4,5,5,5,5,4,4,4,4
69,f83882e0705489c3c0514fe226fdda4f,3,3,4,3,4,4,1,1,4,4,3,2,1,4,3,1,3,5,1,3,1,4,2,4,3,3,4,3,4,4,5,2,4,2,4
70,cdac3b51658dd26dd9cb7a70260f9af5,4,4,3,3,1,3,2,1,4,4,4,5,5,5,5,3,4,5,5,5,3,4,4,5,2,4,2,5,4,4,3,3,2,2,5
71,d21e4243dd618580580846f676c2b85a,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,3,4
72,b3544e076d49acb0dd2af969419895f0,2,2,4,2,3,4,5,4,3,3,3,2,4,2,2,1,2,4,4,4,2,3,3,3,2,3,4,4,4,4,4,2,1,2,4
73,60085c119be41ce2a56c2576583d821c,3,2,4,4,2,4,4,2,3,4,4,3,2,2,3,2,4,4,4,4,3,3,3,4,3,4,4,4,4,5,5,3,5,3,4
74,f79d398d62d5eaff8d7b1f9f6aaf65ab,4,4,3,3,2,2,1,1,4,5,4,3,3,5,4,3,3,5,4,5,3,4,3,4,5,5,4,4,4,4,4,3,4,3,3
75,8b1862b185a8d8e375ab781e55e3c39a,1,1,3,1,3,4,3,4,2,1,1,1,1,1,1,3,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1
76,321fe53fdc9f70e4d17930e03cbd49e7,2,3,4,2,3,3,2,2,4,4,1,5,5,5,3,1,3,5,3,5,4,5,5,5,4,5,5,3,3,3,3,2,3,1,1
77,76fa75f0e9cd794207dda975ca84dfb3,5,4,4,3,3,3,2,2,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,3,4,4,5
78,f0c4f08113a2bc5a9275dd881c616a92,3,4,4,3,2,3,3,3,4,3,3,2,4,4,2,2,3,4,4,3,3,3,3,4,3,4,3,3,3,3,4,3,4,3,4
79,1d6a9b03150137d40a4b024518aa0fa6,4,3,3,2,2,2,3,3,3,3,4,3,4,4,3,2,3,5,5,4,2,5,2,5,4,4,4,4,4,4,3,1,4,4,4
80,f1641addf883c1130a801d06d07eef4c,4,3,4,3,3,2,2,2,4,4,4,3,2,3,2,1,2,5,2,2,1,3,2,4,2,2,2,2,1,3,2,3,2,2,3
81,d5a1f82d20610cfc2ee2df22e16ad238,4,4,3,4,2,2,4,3,4,4,3,3,2,4,3,2,1,5,2,4,2,3,4,4,3,4,4,4,4,3,3,2,3,3,4
82,98a2576c48530076abcaf557f266efd9,4,3,4,2,3,5,3,1,4,4,3,4,4,2,2,1,3,5,5,5,3,3,4,5,5,5,3,4,5,5,4,4,4,5,5
83,b7848fb18dbf386464e7cb7c37758241,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3
84,9b430de7406c68bb31fd726c99ac3558,4,4,3,3,4,2,2,4,4,4,4,2,2,4,4,2,4,4,4,4,2,4,4,4,3,4,3,3,3,3,5,2,3,4,4
85,e4f677ad43c84ada8abc579c6abf9aee,2,4,4,2,5,5,5,2,4,3,5,2,2,5,5,2,4,5,5,5,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4
86,3750e5317d2967d407e66236ad3b7ab5,3,2,4,2,4,4,3,3,3,3,3,1,3,3,3,1,2,4,4,4,2,4,3,3,3,4,4,5,4,4,4,3,3,2,4
87,995eae68fe66f02aa88128425cc87e81,4,4,4,2,3,3,4,3,4,4,4,3,4,4,3,2,4,3,3,3,3,4,4,5,3,3,3,4,3,4,2,2,2,3,5
88,7c74f9e3da2ec3ebf687ed4da9a1f82b,5,4,1,3,1,2,1,1,5,5,4,4,3,5,4,3,4,5,5,5,3,5,5,5,5,5,5,5,5,5,4,3,5,4,5
89,4e4fc034dea12369dc5de555ad478a07,4,4,3,2,3,2,3,2,4,4,3,2,4,4,3,2,2,5,4,4,2,5,4,4,3,4,4,3,4,3,4,3,3,4,4
90,8e72970e2fdad1fa564d800ba15d72c4,5,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,3,4,5,3,3,4,3,4,3,3,3,4,4,3,3,3,3,3,5
91,65e452ca8afdf0ba6a8cbc4af63da728,3,5,5,3,5,5,3,5,4,3,2,2,3,5,2,1,1,5,5,3,1,5,1,5,3,5,1,5,3,3,5,1,5,3,2
92,6ae71a054e9a503a1f0950de131833a2,4,4,2,4,2,3,4,1,4,4,4,1,4,4,4,1,3,5,2,5,1,5,4,5,4,4,4,5,4,5,2,1,4,1,3
93,3e5fd8ec3f352d90ff3906ae403ebeac,3,3,2,2,2,3,2,3,3,3,3,3,2,4,2,2,2,3,2,3,1,2,2,3,2,3,3,3,3,3,4,2,2,2,3
94,32e7400bb54ff66588587d2f2b1b22c2,5,5,2,5,1,2,2,2,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
95,cb75e24ff92bb3f07f0051b945d5295b,4,4,2,4,2,2,3,3,3,3,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,4,3,4
96,6f07da24588ef7be16618bbe848d2aa6,3,3,3,4,2,3,2,2,4,4,4,4,5,4,4,3,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3
97,579c29c5407ed999b692374653d25a61,3,3,4,2,3,4,2,4,5,3,3,1,4,4,3,1,2,4,4,3,2,4,3,4,2,4,4,4,4,4,5,1,3,3,3
98,320c71e05fde5152c26575798bfeb953,5,5,2,4,1,1,2,1,5,5,5,5,5,5,5,3,4,5,5,4,3,5,5,5,5,5,5,5,5,5,4,4,5,4,5
99,f5e00dfd7cb43f85c86dd5373da9516c,4,3,4,2,3,3,2,2,4,5,5,5,5,5,5,3,3,5,5,5,4,4,4,4,4,4,5,4,5,4,5,4,4,4,4
100,ef64bcdb755a678ecea401b713fee614,4,5,2,4,2,1,1,1,5,5,5,5,3,5,5,5,2,5,4,5,1,5,5,5,5,5,5,5,3,5,2,4,5,5,5
101,3723be496725be52bc640fd39aea51e6,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
102,0c7b9053af0850d3eaa8b61de50a26cd,5,5,1,4,1,1,2,2,5,5,5,4,4,5,5,3,4,5,4,4,3,4,4,5,5,4,4,5,5,5,5,3,4,4,4
103,a2dc2d0036c53b22cb9fb6bc280809f5,5,5,2,2,5,3,5,2,3,2,3,4,1,5,4,2,4,5,1,2,1,4,4,5,3,3,3,4,3,4,5,4,3,4,5
104,93229bfed1b03a573e6139c21fc4e5c7,3,2,4,2,1,4,3,3,5,3,3,4,4,4,3,3,1,3,3,2,4,4,4,5,4,3,4,3,3,3,4,3,4,4,5
105,7b5bd317f5674f7d064f43ca1b6fe259,1,1,5,1,1,1,2,1,3,3,1,1,3,2,1,1,1,5,1,1,1,5,1,1,1,1,1,2,1,1,3,1,1,1,3
106,02d679ad650962b6ae8bf8adbeeb33c1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
107,7ba601138e531ca65131aaafdd0b0fca,5,5,5,3,5,5,5,3,5,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,1,1,1
108,92f1d409e9283fc62ebc7d59279f15c3,4,4,2,3,2,3,2,2,4,3,3,3,3,3,3,2,3,3,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3
109,52de7db1d670939f4381ac9c9e0e4f38,3,3,3,4,3,2,4,4,2,4,2,4,4,2,5,3,2,2,2,4,4,3,3,4,2,3,3,4,4,4,4,1,4,4,3
110,59d4d32d1adaab3ed5ecbf5ca9d728ca,3,4,4,4,4,3,1,1,5,5,3,4,2,5,4,3,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
111,9879db96946fbb8a3e255ab8815c577e,4,4,5,4,4,3,3,3,4,4,3,3,3,4,3,2,3,5,4,4,3,3,2,4,3,3,3,4,4,4,3,3,3,4,4
112,64d3bd3b339f63a66b8c878b561551d8,4,2,3,3,2,3,2,4,4,3,4,2,3,3,4,1,3,3,3,2,1,2,1,2,2,2,2,4,3,2,5,2,2,2,2
113,7359eff18cfd86cf045a149530e26627,4,4,3,3,2,2,3,2,4,4,4,4,4,4,4,3,3,4,3,4,3,4,3,4,3,4,3,3,4,4,3,3,3,2,4
114,af4a88df59c0df41ee7fca0ca57fba3a,5,3,3,3,3,3,4,3,3,3,3,2,2,3,3,2,2,3,3,2,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3
115,77174b6a21fc52977ea8a50f8e325beb,5,5,2,4,1,2,3,2,5,4,5,3,5,5,4,3,4,5,4,4,3,5,3,5,4,4,5,4,4,4,3,3,4,4,5
116,33fe133f30a5f6f14bb08aabd4114d92,5,1,3,4,2,2,3,3,4,3,5,5,2,5,5,5,4,5,5,2,5,3,2,5,5,5,5,3,4,4,3,5,5,5,5
117,a2dc2d0036c53b22cb9fb6bc280809f5,3,2,5,3,5,4,5,4,3,3,4,2,1,2,3,1,3,2,5,2,1,2,3,4,1,4,2,3,4,5,2,1,1,1,5
