userid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
b69c06f1f563ace3c69c7b32f2a6c850,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0
4e3519d7eafbfccdae231756fcf2ce9c,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0
604adb5a2ffd0f8313a8b6f1da784ba5,4,4,5,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4.0,4.0
deab088838618d0f80db74ae4a277269,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0
5f1981994e777f8d76c45df9adfc8662,3,2,1,1,3,1,2,1,5,2,1,1,1,2,3,4,2,2,1,2,3,4,2,1.0,5.0
a6a0726e8604766b4636749d9203842b,4,4,4,4,4,3,4,5,5,3,3,4,4,4,4,5,5,4,4,4,3,3,4,4.0,4.0
6d5a2a59f6f376602a835fe57c70455b,5,3,5,4,4,2,3,5,4,4,2,4,5,5,5,5,4,4,4,4,5,3,5,4.0,5.0
2bd3b13fa417ca0970aa75e44af86549,2,1,1,4,2,1,1,3,1,3,1,4,1,3,3,1,2,3,3,3,5,1,4,2.0,2.0
4c2a6bec22f436e1b14bbefa24443b4d,5,4,5,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,4,5,4,4,5,5.0,5.0
f65238cddaeec1be538e9c1a5990e48f,4,5,4,5,4,3,3,5,5,5,4,5,3,5,3,3,4,5,5,5,2,2,3,3.0,5.0
b2d48f67a089cc23fb2bc7729f8a2300,3,3,2,4,3,2,2,2,2,4,2,3,1,5,3,5,2,3,3,3,5,3,4,3.0,3.0
27c8f93d752f0222aa211e0691cebee4,5,5,5,5,4,4,4,5,5,5,3,3,4,5,5,5,5,4,4,4,4,3,5,4.0,5.0
a7e82fef913fa275bef458aade2e5ae4,4,4,3,4,4,3,4,4,3,4,3,4,4,4,4,4,3,4,3,4,4,3,4,3.0,4.0
ca7f48cb0d61ed7c967adf1a0010367e,3,4,3,3,3,3,3,3,3,4,3,4,3,4,3,4,4,4,3,3,5,3,4,3.0,3.0
2979bd5d5a584c2aa70f4a434412bc2b,5,5,5,4,5,3,5,5,5,5,3,3,5,5,4,3,5,5,5,5,5,1,3,5.0,5.0
92c1e87578f7b00e26df9d0ad21c63da,4,2,4,5,4,2,4,4,4,4,2,3,2,5,4,4,4,4,4,4,3,3,5,3.0,4.0
481c56986ebae62c870b0da9bbafc5c6,5,5,5,5,3,3,3,5,3,5,3,5,4,5,5,5,5,4,3,3,3,4,5,4.0,5.0
6df42c634fbdd9f3c1a33219e89e4939,5,5,3,5,5,2,5,4,3,4,3,4,3,5,5,5,3,5,5,4,4,4,5,5.0,5.0
dd48bc0174c3ca2370b0a49c2bd6fa82,4,3,4,4,4,2,3,5,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4.0,4.0
9feda7bbf2a2e9b1b6ed4a1daa538960,4,1,1,4,3,1,2,4,4,3,1,4,4,4,2,2,2,3,3,3,4,2,2,3.0,3.0
95289197f5de3bb81c7622133a0199ee,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0
a0dce576762dccbadb3476bad1732c82,4,3,4,4,4,3,4,5,5,3,3,4,5,5,5,4,4,4,3,3,3,3,4,3.0,4.0
b1dfc5c6ec04d46d1823c5fa972ad320,4,5,1,5,3,1,3,5,2,4,5,5,5,5,5,3,5,5,5,5,1,3,5,4.0,5.0
87959ef435c61f280e3402229c796940,4,5,5,5,4,3,4,5,5,5,3,5,5,5,4,5,5,4,4,5,5,4,5,5.0,5.0
be9c58e4a639094d9f2c8bfec91afc16,4,3,2,3,3,2,3,3,2,2,2,4,2,4,4,4,4,5,5,5,4,4,3,4.0,3.0
1d6a9b03150137d40a4b024518aa0fa6,4,4,5,4,4,2,3,5,5,3,2,4,4,5,3,4,2,4,4,3,3,2,3,,
59d4d32d1adaab3ed5ecbf5ca9d728ca,3,3,1,5,3,1,3,4,3,5,4,5,5,3,3,4,4,3,3,3,3,4,4,,
76fa75f0e9cd794207dda975ca84dfb3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,,
a2dc2d0036c53b22cb9fb6bc280809f5,4,3,1,4,4,3,4,5,1,4,3,4,5,4,2,2,2,4,5,5,4,4,2,,
f83882e0705489c3c0514fe226fdda4f,3,2,1,5,3,1,3,5,2,4,2,5,3,4,4,4,4,3,2,3,5,2,3,,
7359eff18cfd86cf045a149530e26627,4,3,3,4,3,2,2,4,4,2,2,4,4,4,3,3,3,3,3,3,4,3,4,,
d21e4243dd618580580846f676c2b85a,3,3,5,4,3,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,,
321fe53fdc9f70e4d17930e03cbd49e7,4,3,5,5,4,4,3,5,3,3,3,4,5,4,3,3,3,4,3,3,3,3,3,,
60085c119be41ce2a56c2576583d821c,4,4,4,5,3,2,4,5,3,3,2,4,3,5,4,4,4,4,2,3,4,2,4,,
8b1862b185a8d8e375ab781e55e3c39a,5,3,5,4,4,3,4,5,4,5,3,5,5,5,5,4,4,5,4,4,5,5,4,,
9b430de7406c68bb31fd726c99ac3558,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
320c71e05fde5152c26575798bfeb953,5,4,4,5,5,3,4,4,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,,
92f1d409e9283fc62ebc7d59279f15c3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
af4a88df59c0df41ee7fca0ca57fba3a,3,3,3,3,3,2,2,3,3,2,2,3,2,3,3,3,3,3,3,2,3,2,3,,
5d83718570cad6c421fc5c9e9b80159e,2,2,5,5,4,1,2,5,5,2,1,2,4,4,4,4,3,3,2,2,2,2,4,,
f1641addf883c1130a801d06d07eef4c,5,2,3,4,5,2,2,4,4,1,1,4,4,4,3,3,3,2,1,2,2,2,3,,
8792667543b9f7376fb03c96b4b485a6,3,2,3,3,2,1,3,4,4,5,1,2,4,3,3,2,2,4,2,3,4,1,3,,
93229bfed1b03a573e6139c21fc4e5c7,4,4,5,3,4,2,2,4,3,3,3,4,4,5,3,3,3,3,3,3,5,3,3,,
97ff350207ca6a952e2b62129e0549f0,4,2,5,3,3,1,3,4,5,4,1,1,2,5,2,3,3,4,4,4,5,2,2,,
ef64bcdb755a678ecea401b713fee614,3,2,4,5,3,1,2,3,3,5,1,4,4,4,4,3,2,5,5,4,5,3,5,,
9879db96946fbb8a3e255ab8815c577e,4,3,3,4,4,3,3,5,4,4,3,3,2,5,3,3,3,5,5,5,3,3,4,,
6ae71a054e9a503a1f0950de131833a2,4,4,4,3,4,3,3,3,4,4,3,4,5,5,4,4,4,3,4,4,4,2,4,,
f0c4f08113a2bc5a9275dd881c616a92,3,4,4,4,3,3,3,3,4,2,2,3,2,4,3,4,4,3,2,2,3,3,4,,
e4f677ad43c84ada8abc579c6abf9aee,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4,4,4,4,4,4,3,3,3,,
d5a1f82d20610cfc2ee2df22e16ad238,4,2,1,3,3,1,1,4,4,2,1,3,1,4,2,3,3,2,2,3,4,2,2,,
4e4fc034dea12369dc5de555ad478a07,3,2,4,4,2,1,3,5,4,4,2,4,2,3,2,5,4,3,3,4,3,2,4,,
b3544e076d49acb0dd2af969419895f0,3,2,5,3,2,2,2,3,3,3,2,4,5,3,2,2,4,4,3,3,5,3,2,,
3d2fd5b219300a9aee7b21887a24c539,5,5,1,5,5,3,5,5,4,5,3,5,3,5,4,4,4,5,5,5,5,3,4,,
f79d398d62d5eaff8d7b1f9f6aaf65ab,4,4,4,5,3,2,3,4,4,4,3,4,4,4,3,4,4,3,4,3,5,3,3,,
0c7b9053af0850d3eaa8b61de50a26cd,5,5,5,5,5,3,4,5,4,4,3,5,5,5,5,5,5,5,5,5,5,4,5,,
65e452ca8afdf0ba6a8cbc4af63da728,3,1,2,5,3,1,1,5,4,3,1,5,1,5,1,4,4,3,3,3,5,1,4,,
5104564f160fb05b4b79bbdb09c03c4f,4,3,4,5,4,3,3,4,4,4,3,5,4,5,3,3,4,4,4,4,3,2,3,,
cb75e24ff92bb3f07f0051b945d5295b,5,3,3,4,4,3,4,5,4,4,3,4,3,4,4,3,3,4,4,3,3,3,3,,
98a2576c48530076abcaf557f266efd9,3,2,4,4,3,1,3,5,5,4,1,4,3,4,5,5,3,4,4,4,3,4,5,,
6f07da24588ef7be16618bbe848d2aa6,4,3,5,5,4,2,3,5,4,5,3,5,4,5,4,4,4,4,3,4,5,3,4,,
995eae68fe66f02aa88128425cc87e81,4,2,4,5,3,2,3,4,3,3,2,5,4,4,3,4,4,5,4,4,1,4,4,,
32e7400bb54ff66588587d2f2b1b22c2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
579c29c5407ed999b692374653d25a61,3,1,5,5,3,2,3,5,5,4,2,4,4,5,3,3,2,4,3,4,3,2,2,,
c2e15430ed832457c780c948b21c37ec,2,4,5,5,3,3,4,5,5,4,2,5,2,5,5,5,5,5,4,4,3,1,4,,
3750e5317d2967d407e66236ad3b7ab5,4,3,4,4,3,2,3,4,5,5,3,4,4,4,4,4,4,5,4,4,5,4,4,,
3e5fd8ec3f352d90ff3906ae403ebeac,4,4,5,5,4,3,4,5,3,4,2,5,3,5,5,5,4,5,5,5,4,3,5,,
b7848fb18dbf386464e7cb7c37758241,3,3,1,3,2,2,3,3,3,3,2,3,2,4,3,4,2,3,3,3,3,2,4,,
64d3bd3b339f63a66b8c878b561551d8,4,1,2,4,4,1,2,1,2,1,1,3,1,4,2,4,4,3,3,2,4,1,2,,
77174b6a21fc52977ea8a50f8e325beb,5,4,5,4,5,4,4,4,4,5,4,4,3,4,4,4,4,4,4,5,3,3,4,,
3723be496725be52bc640fd39aea51e6,2,2,3,3,2,1,1,3,5,1,1,1,1,3,2,3,2,2,1,2,5,1,2,,
d5d6ef4cf638f306e8948582b7662c45,5,4,5,5,5,3,5,5,5,3,3,5,4,5,5,5,4,5,4,4,4,2,5,,
